id,slug,title,status,author_id,saved_byline_before,linked_user_id,live_display_name,link_state,proposed_saved_byline_after,proposed_link_change
49,android-17-iphone-transfer,Android 17 Makes Leaving iPhone Much Easier,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
50,openai-dublin-office-expansion,OpenAI’s Dublin Office Is About to Triple in Size,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
51,mississauga-ai-data-centre-pause,Mississauga Could Pause New AI Data Centres,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
52,meta-teen-harm-research-trial,Meta’s Teen-Harm Research Is Now on Trial,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
53,us-china-ai-trade-battle-kimi-k3,The US-China AI Fight Is Becoming a Trade Battle,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
54,peacock-inside-youtube-premium,Peacock Is Moving Inside YouTube Premium,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
55,cxmt-466-percent-shanghai-debut,CXMT’s 466% Debut Shows China’s Chip Appetite,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
56,fanatics-prediction-market-exchange-deal,Fanatics Buys Its Way Into Prediction Markets,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
57,xbox-free-cloud-gaming-ads-test,Xbox Tests Free Cloud Gaming With Ads and Limits,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
58,canada-german-submarine-choice-korea,Canada’s German Submarine Choice Cannot Sideline Korea,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
59,uk-grok-lawsuit-canada-privacy-gap,A UK Grok Lawsuit Exposes Canada’s Privacy Gap,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
60,google-eu-fine-canada-competition-case,Europe Can Fine Google. Canada Is Still in Court,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
61,canadian-isps-botnet-traffic-blocking,Canadian ISPs Can Now Block Botnet Traffic,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
62,ssd-prices-canada-buying-guide,SSD Prices Are Rising. Canadians Should Not Panic-Buy,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
63,apple-upgrade-lease-skips-canada,Apple’s New Hardware Lease Skips Canada—for Now,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
64,crtc-broadband-fund-overpayment,"CRTC Finds $701,422 Broadband Fund Overpayment",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
65,apple-device-leasing-skips-canada,Apple’s Device-Leasing Plan Skips Canada—for Now,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
66,protect-phone-before-theft,Protect Your Phone Before It Is Lost or Stolen,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
67,free-iphone-storage-keep-photos,Free Up iPhone Storage Without Deleting Your Photos,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
68,browser-vs-password-manager,Browser Passwords vs Password Managers: Which Is Safer?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
69,openai-agent-security-test-escape,An OpenAI Agent Escaped Its Test and Hacked Real Systems,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
70,microsoft-ai-spending-accounting,Microsoft’s AI Spending “Cut” Is Mostly Accounting,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
71,used-phone-buyer-checklist-canada,Check a Used Phone Before You Hand Over the Money,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
72,secure-home-wifi-router-settings,Secure Your Home Wi-Fi Without Buying a New Router,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
73,vpn-vs-icloud-private-relay,VPN vs iCloud Private Relay: Which One Do You Need?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
74,thomson-reuters-ice-deal-canada,Thomson Reuters’ ICE Deal Is Canada’s Problem Too,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
75,europe-ai-gigafactories-canada,Europe’s AI Factories Show Canada What Scale Looks Like,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
76,stop-scam-calls-texts-canada,Stop Scam Calls Without Missing the Ones That Matter,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
77,satellite-phone-features-canada,Satellite Phone Features in Canada: What Actually Works,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
78,speed-up-slow-windows-11-laptop,Speed Up a Slow Windows 11 Laptop Without Cleaner Apps,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
79,gta-vice-city-cheats-all-platforms,"GTA Vice City Cheats for PS5, PC, Xbox and Mobile",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
80,gta-san-andreas-cheats-all-platforms,"GTA San Andreas Cheats for PS5, PC, Xbox and Mobile",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
81,gta-5-cheats-ps5-xbox-pc,"GTA 5 Cheats for PS5, Xbox and PC That Still Work",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
87,google-earth-ai-images-rollback,Google Earth’s AI Images Lasted One Day,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
88,canada-ai-transparency-consultation,Canada Is Asking the Right AI Transparency Questions,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
89,choose-safe-fast-usb-c-charger,Choose a USB-C Charger That Is Safe and Fast,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
90,backup-plan-cloud-external-drive,Build a Backup Plan That Survives Ransomware,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
91,wifi-extender-vs-mesh,Wi-Fi Extender or Mesh: Buy the Right Fix,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
92,xbox-price-hike-canada,Xbox Prices Just Rose. Canadians Should Wait,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
94,fake-package-fee-texts,That Package-Fee Text Is Probably a Scam,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
97,canada-streamer-cost-shift,Ottawa’s Streamer Reversal Moves the Cost to Taxpayers,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
98,erase-phone-before-resale,How to Wipe Your Phone Before You Sell It,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
99,passkeys-security-guide,Passkeys vs Passwords: What You Should Use Now,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
100,eu-ai-act-canadian-companies,The EU AI Act Is Now Canada’s Business Too,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
101,suno-germany-ruling-canada,Suno Lost in Germany. Canada Still Needs Its Own Rules,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
102,power-bank-air-travel-canada,Fly With a Power Bank Without Losing It at Security,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
103,move-iphone-photos-windows,Move iPhone Photos to Windows Without iCloud,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
104,digital-legacy-online-accounts,What Happens to Your Online Accounts When You Die?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
105,tesla-fsd-supervision-gap,A Tesla FSD Crash Exposes the Supervision Problem,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
106,pc-optimum-data-deletion,Deleting PC Optimum May Not Delete Your Shopping Data,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
107,windows-11-24h2-support-deadline,Windows 11 24H2 Support Ends Soon. Check Your PC,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
108,school-laptop-buying-guide,How to Buy a School Laptop Without Wasting Money,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
109,wildfire-smoke-clean-air-room,Wildfire Smoke: Build a Cleaner-Air Room at Home,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
110,travel-esim-or-roaming,Travel eSIM vs Roaming: What Costs Canadians Less?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
111,canada-frontier-ai-safety-tests,Canada Needs Public Tests for Frontier AI,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
112,apple-openai-next-device-lawsuit,Apple and OpenAI Are Fighting Over the Next Device,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
113,make-laptop-battery-last-longer,Make Your Laptop Battery Last Longer Without Myths,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
114,phone-hotspot-save-mobile-data,Use Your Phone Hotspot Without Wasting Mobile Data,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
115,personalized-online-pricing-canada,Why Two Canadians May See Different Online Prices,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
117,data-centre-water-disclosure-canada,Canada Needs Better Data-Centre Water Disclosure,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
118,meta-muse-code-data-trade,Meta’s Cheap Coding AI Comes With a Data Trade,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
119,recover-hacked-facebook-account,Recover a Hacked Facebook Account Without Getting Scammed,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
120,protect-laptop-before-lost-stolen,Protect Your Laptop Before It Is Lost or Stolen,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
121,cloud-link-vs-email-attachment,Cloud Link or Email Attachment: Share Files Safely,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
122,crtc-carrier-fee-fight,"Bell, Rogers and Telus Face a Test Over New Fees",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
123,pixel-11-preorder-canada,Pixel 11 Preorders Open August 12. Do Not Rush,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
124,power-bank-flight-rules-canada,Can You Bring a Power Bank on a Canadian Flight?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
125,find-unwanted-tracker,How to Find an AirTag That Is Tracking You,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
126,meta-alberta-data-centre,Meta's Alberta Data Centre Needs More Answers,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
127,ai-search-joke-feedback-loop,Google’s Flock Camera Error Exposes AI Search’s Weak Spot,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
128,eu-ai-act-canadian-firms,EU AI Act Rules Now Reach Canadian AI Businesses,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
129,spot-fake-online-store,How to Spot a Fake Online Store Before You Pay,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
130,lost-stolen-phone-canada,Your Phone Is Gone: What Canadians Should Do First,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
131,5g-lte-battery-canada,5G vs LTE: Which Setting Saves More Phone Battery?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
132,bc-subscription-renewal-rules,B.C.’s New Auto-Renewal Rules Put Subscriptions on Notice,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
133,office-windows-10-feature-cutoff,Microsoft 365 Features Stop Here for Windows 10,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
134,check-email-data-breach,How to Check If Your Email Was Exposed in a Breach,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
135,stop-spam-calls-canada,How to Stop Spam Calls in Canada Without Missing Real Calls,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
136,satellite-sos-phones-canada,Satellite SOS in Canada: Which Phones Work in 2026?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
137,meta-child-safety-judgment-canada,Meta’s Child-Safety Judgment Is a Warning for Canada,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
138,apple-qwen-siri-regional-ai,Apple’s China AI Deal Splits Siri by Geography,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
139,fix-iphone-idle-battery-drain,Fix an iPhone That Drains Battery While Sitting Idle,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
140,clear-google-storage-safely,Clear Google Storage Without Deleting the Wrong Files,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
141,meta-muse-glimmer-local-ai,Meta’s One-GPU AI Could Matter More Than Benchmarks,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
142,north-korea-ai-cyber-operations,North Korea Is Building AI Into Cyber Operations,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
143,fix-connected-no-internet-windows-11,"Fix “Connected, No Internet” on Windows 11",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
144,move-whatsapp-iphone-android,Move WhatsApp Chats Between iPhone and Android,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
145,wifi-7-slow-internet-bottlenecks,Wi-Fi 7 Won’t Fix Every Slow Internet Problem,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
151,crtc-one-telecom-code-canada,CRTC’s One Telecom Code Could Simplify Your Rights,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
152,canada-do-not-call-list-review,Canada Is Rethinking the Do Not Call List,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
153,canada-ai-transparency-plan-labels,Canada’s AI Transparency Plan Needs More Than Labels,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
154,switch-cellphone-plans-canada-keep-number,Switch Cellphone Plans in Canada Without Losing Your Number,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
155,fix-iphone-battery-drain,Fix iPhone Battery Drain Before Replacing the Battery,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
156,canada-activation-fee-ban-explained,Canada Banned Activation Fees. Here’s What Can Still Cost,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
157,coreweave-spending-canada-ai-sovereignty,CoreWeave’s Spending Tests Canada’s AI Sovereignty,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
158,canada-cybersecurity-law-suppliers,Canada’s Cybersecurity Law Will Reach Suppliers Too,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
159,check-imported-phone-canada,Check an Imported Phone Before Using It in Canada,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
160,fix-one-airpod-not-working,Fix One AirPod When It Suddenly Goes Silent,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
161,wifi-calling-canada-cost-911,Use Wi-Fi Calling in Canada Without Billing Surprises,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
162,ai-voice-call-rules-canada,Canada May Make AI Sales Calls Admit They Are Robots,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
163,canada-eclipse-perseids-august-12,August 12 Eclipse and Perseids: What Canada Will See,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
164,check-used-phone-canada,How to Check a Used Phone Before Buying It in Canada,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
165,phone-hotspot-save-data,How to Use a Phone Hotspot Without Burning Your Data,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
166,wifi-7-vs-wifi-6e,Wi-Fi 7 vs Wi-Fi 6E: Is the Upgrade Worth It?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
167,australia-teen-ban-measurement-canada,Australia’s Teen Ban Has a Measurement Problem,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
168,lenovo-memory-shortage-pc-prices-canada,Lenovo’s Record Quarter Warns of Pricier PCs,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
169,erase-windows-pc-before-selling,Erase a Windows PC Safely Before Selling It,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
170,check-usb-c-charger-safety-canada,Check a USB-C Charger Before You Plug It In,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
171,microsoft-entra-sms-passkey-deadline,Microsoft’s SMS Login Deadline Needs a Plan,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
172,clop-windchill-supplier-audit,Cl0p’s Windchill Attacks Demand a Supplier Audit,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
173,deepseek-v4-pricing-peak-offpeak,DeepSeek V4 Pricing Rewards Workloads That Can Wait,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
174,cancel-app-subscriptions-refunds-canada,Cancel App Subscriptions Before the Next Charge,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
175,password-manager-emergency-kit,Build a Password Manager Emergency Kit Before Lockout,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
176,remove-bad-browser-extension,Remove a Bad Browser Extension and Recover Safely,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
177,online-passport-renewal-canada,Renew Canadian Passport Online: What You Need,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
178,windows-11-august-update,Windows 11’s August Update: Install It or Wait?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
179,remove-photo-location-data,How to Remove Location Data Before Sharing Photos,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
180,choose-usb-c-charger-canada,How to Choose One USB-C Charger for All Your Devices,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
181,cloud-backup-vs-external-drive,Cloud Backup vs External Drive: Which One Do You Need?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
182,canada-ai-transparency-rules,Canada Wants Better AI Labels. Here Is What Is Missing,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
183,made-by-google-2026-canada,Made by Google 2026: What Matters for Canadians,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
184,offline-maps-iphone-android-canada,How to Download Offline Maps Before You Lose Service,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
185,check-laptop-battery-health,How to Check Your Laptop Battery Health Before It Fails,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
186,wifi-extender-mesh-buying-guide,Wi-Fi Extender vs Mesh: Which One Should You Buy?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
187,us-ai-bloc-pressure-canada,U.S. AI Bloc Pressure Puts Canada in a Bind,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
188,cogeco-fibre-competition-gap,Cogeco Fibre Decision Exposes a Competition Gap,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
189,make-emergency-alerts-work-phone-canada,Make Sure Emergency Alerts Work on Your Phone,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
190,find-app-using-camera-microphone,Find the App Using Your Phone's Camera or Microphone,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
191,qr-code-phishing-canada,QR Codes Can Hide Convincing Phishing Sites,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
192,anthropic-ipo-2028-revenue-math,Anthropic's IPO Math Needs an Extraordinary 2028,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
193,canadian-ai-projects-financing-proof,Canadian AI Megaprojects Need Financing Proof,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
194,move-authenticator-app-new-phone,Move Your Authenticator App Before Replacing Your Phone,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
195,move-esim-new-phone-canada,Move an eSIM to a New Phone Without Losing Service,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
196,cloud-gaming-data-use-canada,Cloud Gaming Can Burn Through a Data Cap Fast,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
230,ontario-data-centre-power-rules,Ontario Wants Data Centres to Pay Their Full Power Cost,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
231,apple-spyware-alert-canada,Apple Spyware Alert: What to Do If One Appears,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
234,open-box-vs-refurbished-tech,Open Box vs Refurbished Tech: Which Is the Better Buy?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
235,canada-phone-locking-two-day-rule,Locked Phones Are Back in Canada—For Two Days,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
236,crtc-carrier-setup-fees-test,Carrier Setup Fees Face a Real CRTC Test,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
237,canada-open-banking-rules-trust-test,Canada’s Open Banking Rules Need a Trust Test,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
238,fix-sos-only-no-service-phone,Fix SOS Only or No Service on Your Phone,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
239,protect-phone-data-before-repair,Protect Your Phone Before Sending It for Repair,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
